G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,0.44,0.496387
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,0.27,0.443959
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,0.32,0.466476
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,0.43,0.495076
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,0.26,0.438634
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,0.3,0.458258
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,0.03,0.170587
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,0.06,0.237487
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,0,0
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,0.01,0.0994987
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,0.01,0.0994987
G_Assignment_Random.R_Assignment_Random.Grouping_Random,0.03,0.170587
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,0.1,0.3
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,0.09,0.286182
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,0.08,0.271293
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,0.07,0.255147
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,0.08,0.271293
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,0.1,0.3
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,0.2,0.4
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,0.22,0.414246
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,0.08,0.271293
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,0.09,0.286182
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,0.11,0.31289
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,0.08,0.271293
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,0.34,0.473709
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,0.19,0.392301
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,0.04,0.195959
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,0.04,0.195959
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,0.08,0.271293
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,0.06,0.237487
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,0.48,0.4996
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,0.31,0.462493
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,0.01,0.0994987
R_Assignment_Random.G_Assignment_Random.Grouping_Random,0.05,0.217945
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,0.06,0.237487
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,0.09,0.286182
