G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,0.39,0.48775
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,0.4,0.489898
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,0.34,0.473709
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,0.39,0.48775
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,0.35,0.47697
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,0.33,0.470213
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,0.06,0.237487
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,0.08,0.271293
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,0.03,0.170587
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,0.02,0.14
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,0.04,0.195959
G_Assignment_Random.R_Assignment_Random.Grouping_Random,0.03,0.170587
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,0.08,0.271293
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,0.1,0.3
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,0.06,0.237487
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,0.08,0.271293
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,0.05,0.217945
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,0.06,0.237487
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,0.24,0.427083
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,0.33,0.470213
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,0.11,0.31289
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,0.09,0.286182
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,0.15,0.357071
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,0.07,0.255147
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,0.26,0.438634
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,0.44,0.496387
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,0.02,0.14
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,0.06,0.237487
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,0.06,0.237487
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,0.07,0.255147
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,0.42,0.493559
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,0.5,0.5
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,0.03,0.170587
R_Assignment_Random.G_Assignment_Random.Grouping_Random,0.01,0.0994987
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,0.1,0.3
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,0.1,0.3
